ds,yhat,yhat_lower,yhat_upper,trend,시군구
2009-01-01,0.5043330830195334,0.48880733807371984,0.5192633996698596,3.9397672785585405,춘천시
2009-04-01,0.5180194436309415,0.5023643268861485,0.5338018176478994,3.9482753166041697,춘천시
2009-07-01,0.5198335349826482,0.5057419418288545,0.5349300273255043,3.9568778884058613,춘천시
2009-10-01,0.5181354047320625,0.50359132664834,0.5334918196707205,3.96557499396602,춘천시
2010-01-01,0.5341006350968431,0.5187000518158993,0.548302847660282,3.9742720995261784,춘천시
2010-04-01,0.5521815670303196,0.5358376336958751,0.5674507102858283,3.9827801375743896,춘천시
2010-07-01,0.5579275775162382,0.5436978728106103,0.5724141954666675,3.9913827093786916,춘천시
2010-10-01,0.5576090126987827,0.542155942106929,0.5724431963602862,4.0000798149362,춘천시
2011-01-01,0.5736734631109406,0.5585841955475825,0.5885490996103196,4.008776920493707,춘천시
2011-04-01,0.5953632822173023,0.5806746832240098,0.6096123935050604,4.017284958527245,춘천시
2011-07-01,0.6098174573544535,0.5941011690865524,0.6250302049724432,4.025887530316712,춘천시
2011-10-01,0.6115730573899278,0.598020822560976,0.6267497590941927,4.034584635862107,춘천시
2012-01-01,0.6230806720287982,0.6085689853786079,0.6391652971622588,4.04328174140819,춘천시
2012-04-01,0.6310221358884665,0.6153049703265592,0.6462125788907979,4.051884313198338,춘천시
2012-07-01,0.6336914987566082,0.617935070683112,0.6471869985644971,4.0604868849819225,춘천시
2012-10-01,0.6312454934560923,0.6163823392277055,0.6448262648675863,4.0691839905213705,춘천시
2013-01-01,0.6424468807504522,0.6266215761670039,0.6572423642132009,4.077881076290099,춘천시
2013-04-01,0.6561332220035574,0.640024803335149,0.6722687552798332,4.086389094976899,춘천시
2013-07-01,0.6579411070850485,0.642858338206061,0.6721982645397616,4.09498546050883,춘천시
2013-10-01,0.6562367023617619,0.6417415079942559,0.6719791287545599,4.103676291596054,춘천시
2014-01-01,0.6721920314272971,0.6569829092357697,0.6870650707906131,4.1123634958572035,춘천시
2014-04-01,0.690263277308818,0.6754274968234516,0.7056158067360853,4.120861847851807,춘천시
2014-07-01,0.6920077279815269,0.6767357568178165,0.707771048578565,4.125462859842961,춘천시
2014-10-01,0.6876436301680409,0.6733253210893329,0.7018661232753289,4.1301144324054455,춘천시
2015-01-01,0.6996612335707328,0.6846890043691098,0.714266225409992,4.134764690953253,춘천시
2015-04-01,0.7173921806137895,0.7032122560871822,0.7322748915700712,4.139313856923934,춘천시
2015-07-01,0.7278434962200158,0.7138254651191434,0.7430519048705996,4.143913569182484,춘천시
2015-10-01,0.7255522492576674,0.7111559934864937,0.7403058826576934,4.14856382772959,춘천시
2016-01-01,0.7330130168971327,0.7193986197965369,0.7474943812002908,4.153214086276696,춘천시
2016-04-01,0.7369533006333788,0.720986953145231,0.7514019184460661,4.15781547794337,춘천시
2016-07-01,0.7356214833844676,0.7198212690450118,0.7503853995141041,4.162416869610044,춘천시
2016-10-01,0.7291339412525781,0.7151588981713141,0.7438370485346143,4.167072438317969,춘천시
2017-01-01,0.7362938114863216,0.7211217929469115,0.7496819687708555,4.171728007025894,춘천시
2017-04-01,0.7460344553440548,0.7308435552674979,0.76130860977577,4.1762903283177115,춘천시
2017-07-01,0.7438589886444809,0.7283153822537548,0.7582284191535568,4.180903342068327,춘천시
2017-10-01,0.7400527763223903,0.7255733223620172,0.7551240995483695,4.1874923655565,춘천시
2018-01-01,0.7539099246148679,0.7392593589926558,0.7691640353323397,4.194081389044673,춘천시
2018-04-01,0.7699312190369878,0.7546479899638028,0.7860704695027754,4.2005297895804725,춘천시
2018-07-01,0.773594707149516,0.7593193834521804,0.787943178100512,4.207049839011115,춘천시
2018-10-01,0.7711707350973591,0.7554423172784548,0.7860914752838037,4.213641537335053,춘천시
2019-01-01,0.7851297782754934,0.7698093985737546,0.7998776006695676,4.220233235658991,춘천시
2019-04-01,0.8047597793912789,0.7901307753871842,0.8201998627987184,4.226681455701567,춘천시
2019-07-01,0.8171312496710348,0.8024770458317612,0.8311699475668223,4.233201322633506,춘천시
2019-10-01,0.8167721389663938,0.8014359011409875,0.8319992111355277,4.239783717438582,춘천시
2020-01-01,0.8261650428641789,0.8105125517840958,0.8408029623685981,4.24636611224366,춘천시
2020-04-01,0.8320147819697299,0.8165845060981772,0.846838056272974,4.252876959279115,춘천시
2020-07-01,0.8325843455937023,0.8180987210005727,0.8465704029855914,4.259379731818413,춘천시
2020-10-01,0.8280154663311068,0.8130476545846714,0.842169353794473,4.265953963396602,춘천시
2021-01-01,0.8315618739026287,0.8163725009786436,0.8469086112630156,4.2669960694414195,춘천시
2021-04-01,0.8377596480331295,0.8219349784920191,0.8535839034014523,4.268015521007002,춘천시
2021-07-01,0.832000922569986,0.8166948130234514,0.8461522600499326,4.269045275994737,춘천시
2021-10-01,0.8226467577375218,0.8067422341585454,0.8373211965525874,4.270086346971347,춘천시
2022-01-01,0.8309559535133437,0.8164673286669831,0.8460121868631815,4.2711274179433305,춘천시
2022-04-01,0.8415472863943019,0.8260258296159266,0.8566448834896238,4.272145856937662,춘천시
2022-07-01,0.8397204800569873,0.8253090887333561,0.8548700514504599,4.273175611919148,춘천시
2022-10-01,0.8317458806515541,0.816152171374238,0.8461215448549803,4.274216682889443,춘천시
2023-01-01,0.840154296477317,0.8238460824329712,0.855544791704937,4.275257753859735,춘천시
2023-04-01,0.8543545165426396,0.8390246221755006,0.8690859339418753,4.276276192852414,춘천시
2023-07-01,0.8612358748719062,0.8472201131314189,0.8756678852199191,4.2773059478339,춘천시
2023-10-01,0.8553354403324143,0.8397601055647442,0.8697890276308555,4.278347018804194,춘천시
2024-01-01,0.8591870203945913,0.8436004882235759,0.8744561677920178,4.279388089774488,춘천시
2024-04-01,0.8595556674462874,0.8446247470644441,0.8737667495448013,4.280417844755974,춘천시
2024-07-01,0.8546522135119332,0.8393780024073965,0.8696860958571644,4.28144759973746,춘천시
2024-10-01,0.8445501736425634,0.8293792394403724,0.8601321106818934,4.282488670707754,춘천시
2025-01-01,0.8480955461382242,0.8328399139729592,0.8633804686087226,4.283529741678048,춘천시
2025-04-01,0.8542923076969884,0.8388191922919203,0.8684033699991086,4.2845481806707255,춘천시
2025-07-01,0.8485335822284035,0.8341327910641378,0.8624681173807094,4.285577935652213,춘천시
2025-10-01,0.8391794173884657,0.8252031755954496,0.8535229089144873,4.286619006622506,춘천시
2026-01-01,0.8474886131638311,0.8318925095628336,0.8625590600887142,4.287660077592799,춘천시
2026-04-01,0.8580799460423569,0.8435705105038005,0.8731628681759773,4.288678516585478,춘천시
2026-07-01,0.856253139705554,0.8409366971060266,0.8715496191983008,4.289708271566964,춘천시
2026-10-01,0.8482785402994972,0.8342850897052926,0.8638933622791886,4.290749342537257,춘천시
2027-01-01,0.8566869561245434,0.8409133640649945,0.8720478359849904,4.2917904135075515,춘천시
2027-04-01,0.870887176190049,0.8554317658802226,0.8865375928267243,4.2928088525002295,춘천시
2027-07-01,0.877768534519634,0.8622474635315924,0.8944318590253914,4.293838607481716,춘천시
2027-10-01,0.8718680999798232,0.8543445786775465,0.8888462759642817,4.29487967845201,춘천시
2028-01-01,0.8757196800427276,0.8593339570693745,0.893211261797221,4.295920749422303,춘천시
2028-04-01,0.8760883270938788,0.8586446027975166,0.8926739426326084,4.296950504403789,춘천시
2028-07-01,0.8711848731598217,0.8534296819188566,0.887718418704669,4.297980259385276,춘천시
2028-10-01,0.8610828332906113,0.8422165170793406,0.8781704773831664,4.299021330355568,춘천시
2009-01-01,0.38762857624259706,0.37457718098766196,0.40127367188980206,-0.23542330334917053,원주시
2009-04-01,0.40830950546621053,0.39400182197936134,0.4218364911672931,-0.2302901152637979,원주시
2009-07-01,0.4101580527218005,0.39748389582925386,0.4245057863265696,-0.2250998917552545,원주시
2009-10-01,0.4105874751219295,0.3964755660848847,0.4236249370749881,-0.2198526328313385,원주시
2010-01-01,0.4226413037077117,0.4092197703744035,0.43602244810322005,-0.2146053739074225,원주시
2010-04-01,0.434021477365776,0.419720939229501,0.44819027390803984,-0.20947218585144003,원주시
2010-07-01,0.4354940662151738,0.4221306995805361,0.44872366132233243,-0.20428196237261337,원주시
2010-10-01,0.43614266286234876,0.42240747747913054,0.45035635263149487,-0.19903592413795107,원주시
2011-01-01,0.44692285939626625,0.43300833155404334,0.4614705059643625,-0.19378988590328877,원주시
2011-04-01,0.46285684757343537,0.449621433147078,0.4754935076438612,-0.1886588774533061,원주시
2011-07-01,0.4617717848589721,0.4485936302255928,0.4753918431745278,-0.18347085779832362,원주시
2011-10-01,0.46370865800935346,0.45081105344822814,0.47847353745265564,-0.17822582693834135,원주시
2012-01-01,0.4604543746371631,0.4476551820986027,0.4732996594891422,-0.17298357019043098,원주시
2012-04-01,0.4691348986322368,0.45554028408151687,0.4821584642200753,-0.1677982944941284,원주시
2012-07-01,0.469053421209363,0.4545332326372445,0.48254776512472786,-0.1626135979137614,원주시
2012-10-01,0.4702921989940332,0.4571810387000009,0.48378836062644437,-0.15737192664569807,원주시
2013-01-01,0.4693865812631234,0.4550338783366826,0.4829273617123704,-0.15366529832884504,원주시
2013-04-01,0.4885603718413682,0.47457975258575863,0.5025569317188218,-0.15003924888844528,원주시
2013-07-01,0.4888803929625072,0.4752563994421613,0.502140919898474,-0.1463775515144153,원주시
2013-10-01,0.4877644922444694,0.47409840888913446,0.5020641413837329,-0.14267561570770368,원주시
2014-01-01,0.49826774432963855,0.4846360496465794,0.5121162694555648,-0.138978933285628,원주시
2014-04-01,0.508131049694815,0.4950945148438257,0.521932264981838,-0.1353626135249018,원주시
2014-07-01,0.508066701855647,0.49426517791600627,0.5226087194312691,-0.13170932673193958,원주시
2014-10-01,0.5071626930702519,0.4939996523883835,0.5197699441430176,-0.1280158939302635,원주시
2015-01-01,0.5163896608594148,0.5025639212782042,0.5302208413924252,-0.12432308444003723,원주시
2015-04-01,0.5308051716088116,0.5170573403311015,0.5447945772276555,-0.12071055341698977,원주시
2015-07-01,0.5281847594971885,0.514042605135794,0.5417890137947136,-0.11705788315988076,원주시
2015-10-01,0.5285694112797035,0.5153546355435826,0.5419083506144019,-0.11336507366917715,원주시
2016-01-01,0.5237656806491225,0.5104423673119497,0.5382579724591304,-0.10967226417847352,원주시
2016-04-01,0.5309136679768501,0.5172988997600317,0.5448784204183116,-0.10601952514937106,원주시
2016-07-01,0.5293002330031426,0.5156441155647173,0.5429012614764629,-0.1023667861202686,원주시
2016-10-01,0.5289949508055367,0.515318616454879,0.5431300436567467,-0.09866917483353671,원주시
2017-01-01,0.52808031604515,0.5129183402260215,0.5417771056271828,-0.09497156354680476,원주시
