시군구,날짜,전문의수,고령인구비율,세이상인구,전체인구,공급_raw,수요_raw,접근성_raw,공급지수,수요지수,접근성지수,AMAI_raw,AMAI
강릉시,2009-01-01,97,13.3,28964.669999999995,217929.0,0.4450990919060795,3.3489074793532954,0.88,0.4887796410454857,0.6669703216578533,0.88,0.6806236407094183,0.6828145416166418
강릉시,2009-04-01,99,13.5,29331.0,217517.0,0.45513683987918185,3.3752684872660326,0.88,0.5006895395750267,0.6723820455400978,0.88,0.6863051191779801,0.6894197883639525
강릉시,2009-07-01,95,13.569999999999999,29495.669999999995,217568.67,0.4366437502237799,3.220811732705174,0.88,0.47874728500918823,0.6406731932003856,0.88,0.6679784355535496,0.6681133153976118
강릉시,2009-10-01,95,13.669999999999998,29763.669999999995,217557.67,0.43666582750219746,3.191810687324514,0.88,0.478773479943198,0.6347194887587303,0.88,0.6658341162883832,0.6656203449622206
강릉시,2010-01-01,102,13.87,30116.0,217300.33,0.46939643395847586,3.386903971310931,0.88,0.5176087050105328,0.6747707260903899,0.88,0.6924603295529035,0.6965757924803011
강릉시,2010-04-01,105,14.1,30562.669999999995,216973.0,0.48393118037728194,3.435563712201847,0.88,0.5348543417274991,0.6847602182507393,0.88,0.7014656561350583,0.7070453215728411
강릉시,2010-07-01,104,14.2,30847.669999999995,216862.33,0.47956692155802255,3.3714053605993586,0.88,0.5296761005688931,0.6715889736320971,0.88,0.695084167121981,0.6996262475096603
강릉시,2010-10-01,102,14.3,31226.330000000005,218578.67,0.46665120617670514,3.266474158186376,0.88,0.5143514620105114,0.6500473582291222,0.88,0.682503074592085,0.6849995581768493
강릉시,2011-01-01,105,14.37,31403.669999999995,218322.33,0.4809402684553614,3.3435582529048364,0.88,0.5313055917891344,0.6658721642346438,0.88,0.6935269388816736,0.6978158249539775
강릉시,2011-04-01,103,14.529999999999998,31648.0,217910.33,0.4726714883135646,3.254550050556117,0.88,0.5214945930755011,0.6475994253484546,0.88,0.6838521157717454,0.6865679439259544
강릉시,2011-07-01,103,14.669999999999998,31925.0,217914.0,0.4726635278137247,3.226311667971809,0.88,0.5214851478547612,0.6418022900517569,0.88,0.6817532560280382,0.6841278244091955
강릉시,2011-10-01,105,14.77,32153.0,217735.33,0.48223685150223444,3.265636177028582,0.88,0.5328440018552928,0.6498753267704042,0.88,0.6882245663068209,0.691651324041605
강릉시,2012-01-01,112,14.930000000000001,32498.330000000005,217698.0,0.5144741798270999,3.4463309345434054,0.88,0.5710939469865588,0.6869706509657606,0.88,0.71359904301894,0.7211515114831071
강릉시,2012-04-01,115,15.1,32884.33,217812.67,0.5279766323970042,3.497106372548871,0.88,0.5871147556817384,0.6973944804109476,0.88,0.7223783259448073,0.7313582438170736
강릉시,2012-07-01,114,15.23,33201.67,217732.0,0.5235794462917716,3.4335622274421738,0.88,0.5818974459356518,0.6843493279346434,0.88,0.7160302054788634,0.7239779637911553
강릉시,2012-10-01,115,15.37,33518.33,217878.33,0.5278175209071962,3.4309585232915842,0.88,0.5869259681465687,0.683814806341968,0.88,0.7174096638108628,0.7255817123067765
강릉시,2013-01-01,117,15.6,33938.67,217312.0,0.5383964070092769,3.4473949627371967,0.88,0.5994779330264373,0.6871890882427715,0.88,0.72255533354292,0.7315640316006854
강릉시,2013-04-01,120,15.77,34250.33,217195.33,0.5524980670624917,3.503615877569646,0.88,0.6162097080004567,0.6987308346163382,0.88,0.7319611502967083,0.7424991677386713
강릉시,2013-07-01,115,15.9,34512.33,216956.0,0.5300613949372224,3.3321424545952127,0.88,0.5895883493980502,0.6635285835737076,0.88,0.7109080308190576,0.7180229597023335
강릉시,2013-10-01,113,16.03,34759.33,216905.33,0.5209646070015892,3.250925722676473,0.88,0.578794910317047,0.64685537710082,0.88,0.7015042392430804,0.7070901780217697
강릉시,2014-01-01,121,16.27,35150.33,216386.67,0.5591841678602476,3.4423574401719694,0.88,0.624142840240172,0.6861549213678239,0.88,0.7298955841870358,0.7400977551657354
강릉시,2014-04-01,122,16.4,35466.67,216135.67,0.5644602762699928,3.439849300766043,0.88,0.630403000981337,0.6856400185246555,0.88,0.7316673402150169,0.7421575862124615
강릉시,2014-07-01,124,16.57,35710.33,215790.33,0.5746318660340342,3.472384601318442,0.88,0.6424717042700098,0.6923192799397831,0.88,0.737856753700074,0.7493533546231236
강릉시,2014-10-01,120,16.67,35964.67,215893.67,0.5558291727589789,3.3366078431972266,0.88,0.6201621015993644,0.6644452954923495,0.88,0.7208016433908642,0.7295252038137361
강릉시,2015-01-01,124,16.8,36168.67,215380.33,0.5757257406003603,3.4283815246731497,0.88,0.6437695984912932,0.683285767201505,0.88,0.7349966895800442,0.7460282642737609
강릉시,2015-04-01,126,16.9,36397.0,215144.67,0.5856524356378431,3.461823776684892,0.88,0.6555477314895436,0.6901512191784204,0.88,0.7411625405432549,0.7531966390629131
강릉시,2015-07-01,124,17.03,36621.67,214883.33,0.5770573268759377,3.3859733867953046,0.88,0.6453495402738477,0.6745796838334196,0.88,0.7323432174121942,0.742943356269136
강릉시,2015-10-01,122,17.17,36859.67,214710.67,0.5682065078554316,3.3098505765244233,0.88,0.6348479460198352,0.6589522225584111,0.88,0.7234087830275444,0.7325562459448042
강릉시,2016-01-01,132,17.33,37143.33,214201.67,0.6162416941007043,3.553800911226861,0.88,0.691842223577093,0.7090334583275797,0.88,0.7593406455939539,0.7743303756286336
강릉시,2016-04-01,128,17.4,37314.0,214214.67,0.5975314389065884,3.4303478587125475,0.88,0.6696422997076293,0.6836894413294711,0.88,0.7432345267238125,0.7556055155649242
강릉시,2016-07-01,127,17.5,37450.33,214061.67,0.5932869719272955,3.391158368964973,0.88,0.6646061928865749,0.6756441230964968,0.88,0.7387507270704098,0.7503926817506076
강릉시,2016-10-01,124,17.57,37614.0,213930.0,0.5796288505585939,3.2966448662731964,0.88,0.6484006814470288,0.6562411859476284,0.88,0.7266673557696466,0.7363446396040859
강릉시,2017-01-01,136,17.83,38101.67,213650.67,0.6365531172918858,3.569397351874603,0.88,0.7159419509109294,0.7122352945627797,0.88,0.7680356231751333,0.7844390951641953
강릉시,2017-04-01,138,18.2,38824.67,213766.0,0.6455657120402684,3.554441029376425,0.88,0.7266354938479249,0.7091648699446514,0.88,0.770270027107215,0.7870367973972017
강릉시,2017-07-01,134,18.37,39301.0,213718.33,0.6269934824963306,3.4095824533726877,0.88,0.7045993389326629,0.679426454103254,0.88,0.7526263702052463,0.7665244064751442
강릉시,2017-10-01,136,18.53,39688.33,213963.67,0.6356219259091975,3.426699989644311,0.88,0.7148370820788847,0.682940560246425,0.88,0.7570988010506605,0.7717240229935751
강릉시,2018-01-01,143,18.77,40042.0,213386.0,0.6701470574451932,3.5712501873033315,0.88,0.7558015309188645,0.712615668248517,0.88,0.7806395433191435,0.7990923237199764
강릉시,2018-04-01,137,18.97,40437.33,213168.67,0.6426835613319725,3.3879586016188505,0.88,0.7232157902874619,0.6749872340495393,0.88,0.7568438499559448,0.7714276186512172
강릉시,2018-07-01,140,19.17,40759.0,212743.0,0.6580710058615324,3.434824210603793,0.88,0.741473162704769,0.6846084039319396,0.88,0.766032441056164,0.782110209778321
강릉시,2018-10-01,139,19.33,41103.67,212833.67,0.6530921540750577,3.3816931675444066,0.88,0.7355657002212085,0.6737009858406112,0.88,0.7602413498063,0.7753775279855085
강릉시,2019-01-01,140,19.5,41542.33,212823.33,0.6578226174733757,3.3700565182549944,0.88,0.7411784471463797,0.6713120660740651,0.88,0.7611330869265578,0.7764142552644433
강릉시,2019-04-01,141,19.73,42040.33,213223.67,0.6612774275951633,3.353922293188469,0.88,0.7452776174084325,0.6679998265950946,0.88,0.7612176224590916,0.7765125356776124
강릉시,2019-07-01,145,19.93,42514.67,213404.33,0.6794613773769258,3.410587451343266,0.88,0.7668530741092172,0.6796327729032402,0.88,0.772171311593542,0.7892472173149246
강릉시,2019-10-01,142,20.13,42967.33,213510.67,0.6650721483849027,3.3048364885600288,0.88,0.7497800954219114,0.6579228666371802,0.88,0.7589825676952922,0.7739140767922468
강릉시,2020-01-01,148,20.5,43673.67,213248.0,0.6940276110444178,3.388769480558881,0.88,0.7841360707935616,0.6751537016193643,0.88,0.7759573349605082,0.7936488213460363
강릉시,2020-04-01,149,20.8,44319.0,212943.0,0.6997177648478701,3.36198921455809,0.88,0.7908875009548084,0.6696559070900696,0.88,0.7760812166655691,0.7937928453415389
