시군구,평균_per1000,최소_per1000,최대_per1000,표준편차
고성군,0.048722934737626865,0.03315210184325686,0.09999556686320238,0.020054092012488187
양양군,0.06393396104540162,0.03560492772199673,0.1102360410857074,0.02981264001812088
횡성군,0.10928546259591969,0.08554136994503966,0.17201959389184227,0.01975616920572846
인제군,0.13056536965204715,0.06232859636000997,0.2233638597274961,0.0400850510893282
화천군,0.16033090437616065,0.08002881037173383,0.35725449917384894,0.07747999988934214
정선군,0.16626723407047717,0.09865257842078431,0.23365699153642452,0.029952742419318043
삼척시,0.17701617555612598,0.12653008259743204,0.2307172686766865,0.01999565737811968
평창군,0.1910102029631503,0.0916555209734183,0.29854704616308586,0.05809878930752407
양구군,0.20751383578309995,0.13452112497326393,0.3270619974049967,0.049609039339105945
철원군,0.2194137025234343,0.12570623333213912,0.2718016266281963,0.029545785939585074
태백시,0.2255007536955218,0.12660009330426877,0.30098821957190947,0.03657559583291147
영월군,0.2433442484775966,0.1844548318865487,0.29965786563191477,0.029151038345111447
홍천군,0.3147384594060281,0.228296396641018,0.42712383645575586,0.0389241702749523
동해시,0.3223306470756727,0.25131329521678547,0.3870953471139277,0.03811363932654521
속초시,0.35432319115808,0.22501805177712744,0.4389210067593835,0.047000883325893646
원주시,0.5374004909475767,0.36423058749409354,0.6344222614283482,0.06882531019614366
강릉시,0.6094219082355863,0.4366437502237799,0.7336651609747676,0.0909449388385913
춘천시,0.7322958587713685,0.4991547328994447,0.8759592801080466,0.10976529229776251
