시군구,연도,분기,기간,전문과목,전문의수,고령인구비율,세이상인구_평균,전체인구_평균
강릉시,2009,01-04,2009.1/4,가정의학과,16,13.3,28964.67,217929
강릉시,2009,02-04,2009.2/4,가정의학과,16,13.5,29331,217517
강릉시,2009,03-04,2009.3/4,가정의학과,12,13.57,29495.67,217568.67
강릉시,2009,04-04,2009.4/4,가정의학과,13,13.67,29763.67,217557.67
강릉시,2010,01-04,2010.1/4,가정의학과,15,13.87,30116,217300.33
강릉시,2010,02-04,2010.2/4,가정의학과,14,14.1,30562.67,216973
강릉시,2010,03-04,2010.3/4,가정의학과,14,14.2,30847.67,216862.33
강릉시,2010,04-04,2010.4/4,가정의학과,13,14.3,31226.33,218578.67
강릉시,2011,01-04,2011.1/4,가정의학과,13,14.37,31403.67,218322.33
강릉시,2011,02-04,2011.2/4,가정의학과,13,14.53,31648,217910.33
강릉시,2011,03-04,2011.3/4,가정의학과,12,14.67,31925,217914
강릉시,2011,04-04,2011.4/4,가정의학과,12,14.77,32153,217735.33
강릉시,2012,01-04,2012.1/4,가정의학과,12,14.93,32498.33,217698
강릉시,2012,02-04,2012.2/4,가정의학과,14,15.1,32884.33,217812.67
강릉시,2012,03-04,2012.3/4,가정의학과,14,15.23,33201.67,217732
강릉시,2012,04-04,2012.4/4,가정의학과,14,15.37,33518.33,217878.33
강릉시,2013,01-04,2013.1/4,가정의학과,15,15.6,33938.67,217312
강릉시,2013,02-04,2013.2/4,가정의학과,15,15.77,34250.33,217195.33
강릉시,2013,03-04,2013.3/4,가정의학과,14,15.9,34512.33,216956
강릉시,2013,04-04,2013.4/4,가정의학과,15,16.03,34759.33,216905.33
강릉시,2014,01-04,2014.1/4,가정의학과,16,16.27,35150.33,216386.67
강릉시,2014,02-04,2014.2/4,가정의학과,14,16.4,35466.67,216135.67
강릉시,2014,03-04,2014.3/4,가정의학과,15,16.57,35710.33,215790.33
강릉시,2014,04-04,2014.4/4,가정의학과,13,16.67,35964.67,215893.67
강릉시,2015,01-04,2015.1/4,가정의학과,13,16.8,36168.67,215380.33
강릉시,2015,02-04,2015.2/4,가정의학과,14,16.9,36397,215144.67
강릉시,2015,03-04,2015.3/4,가정의학과,13,17.03,36621.67,214883.33
강릉시,2015,04-04,2015.4/4,가정의학과,14,17.17,36859.67,214710.67
강릉시,2016,01-04,2016.1/4,가정의학과,15,17.33,37143.33,214201.67
강릉시,2016,02-04,2016.2/4,가정의학과,15,17.4,37314,214214.67
강릉시,2016,03-04,2016.3/4,가정의학과,15,17.5,37450.33,214061.67
강릉시,2016,04-04,2016.4/4,가정의학과,14,17.57,37614,213930
강릉시,2017,01-04,2017.1/4,가정의학과,18,17.83,38101.67,213650.67
강릉시,2017,02-04,2017.2/4,가정의학과,19,18.2,38824.67,213766
강릉시,2017,03-04,2017.3/4,가정의학과,19,18.37,39301,213718.33
강릉시,2017,04-04,2017.4/4,가정의학과,18,18.53,39688.33,213963.67
강릉시,2018,01-04,2018.1/4,가정의학과,20,18.77,40042,213386
강릉시,2018,02-04,2018.2/4,가정의학과,19,18.97,40437.33,213168.67
강릉시,2018,03-04,2018.3/4,가정의학과,18,19.17,40759,212743
강릉시,2018,04-04,2018.4/4,가정의학과,17,19.33,41103.67,212833.67
강릉시,2019,01-04,2019.1/4,가정의학과,17,19.5,41542.33,212823.33
강릉시,2019,02-04,2019.2/4,가정의학과,18,19.73,42040.33,213223.67
강릉시,2019,03-04,2019.3/4,가정의학과,19,19.93,42514.67,213404.33
강릉시,2019,04-04,2019.4/4,가정의학과,18,20.13,42967.33,213510.67
강릉시,2020,01-04,2020.1/4,가정의학과,20,20.5,43673.67,213248
강릉시,2020,02-04,2020.2/4,가정의학과,21,20.8,44319,212943
강릉시,2020,03-04,2020.3/4,가정의학과,19,21,44791,212989.33
강릉시,2020,04-04,2020.4/4,가정의학과,22,21.27,45337,213193.33
강릉시,2021,01-04,2021.1/4,가정의학과,21,21.5,45868.33,213184
강릉시,2021,02-04,2021.2/4,가정의학과,20,21.7,46167,212785
강릉시,2021,03-04,2021.3/4,가정의학과,19,21.83,46558.67,213044.33
강릉시,2021,04-04,2021.4/4,가정의학과,19,22.1,47122.33,213071
강릉시,2022,01-04,2022.1/4,가정의학과,22,22.47,47788,212772
강릉시,2022,02-04,2022.2/4,가정의학과,23,22.73,48309.33,212405.67
강릉시,2022,03-04,2022.3/4,가정의학과,23,23,48814,212075.33
강릉시,2022,04-04,2022.4/4,가정의학과,26,23.33,49393.67,211554.67
강릉시,2023,01-04,2023.1/4,가정의학과,22,23.7,50001.33,210925.67
강릉시,2023,02-04,2023.2/4,가정의학과,23,24,50561,210548
강릉시,2023,03-04,2023.3/4,가정의학과,23,24.3,50991.67,210165.33
강릉시,2023,04-04,2023.4/4,가정의학과,25,24.6,51514.33,209635.67
강릉시,2024,01-04,2024.1/4,가정의학과,27,25,52230.67,208971
강릉시,2024,02-04,2024.2/4,가정의학과,27,25.4,52918.33,208542
강릉시,2024,03-04,2024.3/4,가정의학과,24,25.63,53394,208171
강릉시,2024,04-04,2024.4/4,가정의학과,24,26,54025.67,207818.67
강릉시,2025,01-04,2025.1/4,가정의학과,24,26.43,54808.67,207412
강릉시,2025,02-04,2025.2/4,가정의학과,26,26.8,55487.33,207027
강릉시,2025,03-04,2025.3/4,가정의학과,23,27.1,56089.33,206908
강릉시,2025,04-04,2025.4/4,가정의학과,23,27.47,56739.33,206503
강릉시,2009,01-04,2009.1/4,결핵과,1,13.3,28964.67,217929
강릉시,2009,02-04,2009.2/4,결핵과,1,13.5,29331,217517
강릉시,2009,03-04,2009.3/4,결핵과,1,13.57,29495.67,217568.67
강릉시,2009,04-04,2009.4/4,결핵과,1,13.67,29763.67,217557.67
강릉시,2010,01-04,2010.1/4,결핵과,1,13.87,30116,217300.33
강릉시,2010,02-04,2010.2/4,결핵과,1,14.1,30562.67,216973
강릉시,2010,03-04,2010.3/4,결핵과,1,14.2,30847.67,216862.33
강릉시,2010,04-04,2010.4/4,결핵과,1,14.3,31226.33,218578.67
강릉시,2011,01-04,2011.1/4,결핵과,1,14.37,31403.67,218322.33
강릉시,2011,02-04,2011.2/4,결핵과,1,14.53,31648,217910.33
강릉시,2011,03-04,2011.3/4,결핵과,1,14.67,31925,217914
강릉시,2011,04-04,2011.4/4,결핵과,1,14.77,32153,217735.33
강릉시,2012,01-04,2012.1/4,결핵과,1,14.93,32498.33,217698
강릉시,2012,02-04,2012.2/4,결핵과,1,15.1,32884.33,217812.67
강릉시,2012,03-04,2012.3/4,결핵과,1,15.23,33201.67,217732
강릉시,2012,04-04,2012.4/4,결핵과,1,15.37,33518.33,217878.33
강릉시,2013,01-04,2013.1/4,결핵과,1,15.6,33938.67,217312
강릉시,2013,02-04,2013.2/4,결핵과,1,15.77,34250.33,217195.33
강릉시,2013,03-04,2013.3/4,결핵과,1,15.9,34512.33,216956
강릉시,2013,04-04,2013.4/4,결핵과,1,16.03,34759.33,216905.33
강릉시,2014,01-04,2014.1/4,결핵과,1,16.27,35150.33,216386.67
강릉시,2014,02-04,2014.2/4,결핵과,1,16.4,35466.67,216135.67
강릉시,2014,03-04,2014.3/4,결핵과,1,16.57,35710.33,215790.33
강릉시,2014,04-04,2014.4/4,결핵과,1,16.67,35964.67,215893.67
강릉시,2015,01-04,2015.1/4,결핵과,1,16.8,36168.67,215380.33
강릉시,2015,02-04,2015.2/4,결핵과,1,16.9,36397,215144.67
강릉시,2015,03-04,2015.3/4,결핵과,1,17.03,36621.67,214883.33
강릉시,2015,04-04,2015.4/4,결핵과,1,17.17,36859.67,214710.67
강릉시,2016,01-04,2016.1/4,결핵과,1,17.33,37143.33,214201.67
강릉시,2016,02-04,2016.2/4,결핵과,1,17.4,37314,214214.67
강릉시,2016,03-04,2016.3/4,결핵과,1,17.5,37450.33,214061.67
강릉시,2016,04-04,2016.4/4,결핵과,1,17.57,37614,213930
강릉시,2017,01-04,2017.1/4,결핵과,1,17.83,38101.67,213650.67
강릉시,2017,02-04,2017.2/4,결핵과,1,18.2,38824.67,213766
강릉시,2017,03-04,2017.3/4,결핵과,1,18.37,39301,213718.33
강릉시,2017,04-04,2017.4/4,결핵과,1,18.53,39688.33,213963.67
강릉시,2018,01-04,2018.1/4,결핵과,1,18.77,40042,213386
강릉시,2018,02-04,2018.2/4,결핵과,1,18.97,40437.33,213168.67
강릉시,2018,03-04,2018.3/4,결핵과,1,19.17,40759,212743
강릉시,2018,04-04,2018.4/4,결핵과,1,19.33,41103.67,212833.67
강릉시,2019,01-04,2019.1/4,결핵과,1,19.5,41542.33,212823.33
강릉시,2019,02-04,2019.2/4,결핵과,1,19.73,42040.33,213223.67
강릉시,2019,03-04,2019.3/4,결핵과,1,19.93,42514.67,213404.33
강릉시,2019,04-04,2019.4/4,결핵과,1,20.13,42967.33,213510.67
강릉시,2020,01-04,2020.1/4,결핵과,1,20.5,43673.67,213248
강릉시,2020,02-04,2020.2/4,결핵과,1,20.8,44319,212943
강릉시,2020,03-04,2020.3/4,결핵과,1,21,44791,212989.33
강릉시,2020,04-04,2020.4/4,결핵과,1,21.27,45337,213193.33
강릉시,2021,01-04,2021.1/4,결핵과,1,21.5,45868.33,213184
강릉시,2021,02-04,2021.2/4,결핵과,1,21.7,46167,212785
강릉시,2021,03-04,2021.3/4,결핵과,1,21.83,46558.67,213044.33
강릉시,2021,04-04,2021.4/4,결핵과,1,22.1,47122.33,213071
강릉시,2022,01-04,2022.1/4,결핵과,1,22.47,47788,212772
강릉시,2022,02-04,2022.2/4,결핵과,1,22.73,48309.33,212405.67
강릉시,2022,03-04,2022.3/4,결핵과,1,23,48814,212075.33
강릉시,2022,04-04,2022.4/4,결핵과,1,23.33,49393.67,211554.67
강릉시,2023,01-04,2023.1/4,결핵과,1,23.7,50001.33,210925.67
강릉시,2023,02-04,2023.2/4,결핵과,1,24,50561,210548
강릉시,2023,03-04,2023.3/4,결핵과,1,24.3,50991.67,210165.33
강릉시,2023,04-04,2023.4/4,결핵과,1,24.6,51514.33,209635.67
강릉시,2024,01-04,2024.1/4,결핵과,1,25,52230.67,208971
강릉시,2024,02-04,2024.2/4,결핵과,1,25.4,52918.33,208542
강릉시,2024,03-04,2024.3/4,결핵과,1,25.63,53394,208171
강릉시,2024,04-04,2024.4/4,결핵과,1,26,54025.67,207818.67
강릉시,2025,01-04,2025.1/4,결핵과,1,26.43,54808.67,207412
강릉시,2025,02-04,2025.2/4,결핵과,1,26.8,55487.33,207027
강릉시,2025,03-04,2025.3/4,결핵과,1,27.1,56089.33,206908
강릉시,2025,04-04,2025.4/4,결핵과,1,27.47,56739.33,206503
강릉시,2009,01-04,2009.1/4,내과,57,13.3,28964.67,217929
강릉시,2009,02-04,2009.2/4,내과,58,13.5,29331,217517
강릉시,2009,03-04,2009.3/4,내과,58,13.57,29495.67,217568.67
강릉시,2009,04-04,2009.4/4,내과,57,13.67,29763.67,217557.67
강릉시,2010,01-04,2010.1/4,내과,61,13.87,30116,217300.33
강릉시,2010,02-04,2010.2/4,내과,64,14.1,30562.67,216973
강릉시,2010,03-04,2010.3/4,내과,62,14.2,30847.67,216862.33
강릉시,2010,04-04,2010.4/4,내과,61,14.3,31226.33,218578.67
강릉시,2011,01-04,2011.1/4,내과,62,14.37,31403.67,218322.33
강릉시,2011,02-04,2011.2/4,내과,60,14.53,31648,217910.33
강릉시,2011,03-04,2011.3/4,내과,61,14.67,31925,217914
강릉시,2011,04-04,2011.4/4,내과,63,14.77,32153,217735.33
강릉시,2012,01-04,2012.1/4,내과,70,14.93,32498.33,217698
강릉시,2012,02-04,2012.2/4,내과,70,15.1,32884.33,217812.67
강릉시,2012,03-04,2012.3/4,내과,69,15.23,33201.67,217732
강릉시,2012,04-04,2012.4/4,내과,69,15.37,33518.33,217878.33
강릉시,2013,01-04,2013.1/4,내과,73,15.6,33938.67,217312
강릉시,2013,02-04,2013.2/4,내과,75,15.77,34250.33,217195.33
강릉시,2013,03-04,2013.3/4,내과,72,15.9,34512.33,216956
강릉시,2013,04-04,2013.4/4,내과,69,16.03,34759.33,216905.33
강릉시,2014,01-04,2014.1/4,내과,72,16.27,35150.33,216386.67
강릉시,2014,02-04,2014.2/4,내과,73,16.4,35466.67,216135.67
강릉시,2014,03-04,2014.3/4,내과,74,16.57,35710.33,215790.33
강릉시,2014,04-04,2014.4/4,내과,73,16.67,35964.67,215893.67
강릉시,2015,01-04,2015.1/4,내과,76,16.8,36168.67,215380.33
강릉시,2015,02-04,2015.2/4,내과,76,16.9,36397,215144.67
강릉시,2015,03-04,2015.3/4,내과,74,17.03,36621.67,214883.33
강릉시,2015,04-04,2015.4/4,내과,72,17.17,36859.67,214710.67
강릉시,2016,01-04,2016.1/4,내과,80,17.33,37143.33,214201.67
강릉시,2016,02-04,2016.2/4,내과,79,17.4,37314,214214.67
강릉시,2016,03-04,2016.3/4,내과,80,17.5,37450.33,214061.67
강릉시,2016,04-04,2016.4/4,내과,78,17.57,37614,213930
강릉시,2017,01-04,2017.1/4,내과,84,17.83,38101.67,213650.67
강릉시,2017,02-04,2017.2/4,내과,85,18.2,38824.67,213766
강릉시,2017,03-04,2017.3/4,내과,81,18.37,39301,213718.33
강릉시,2017,04-04,2017.4/4,내과,84,18.53,39688.33,213963.67
강릉시,2018,01-04,2018.1/4,내과,87,18.77,40042,213386
강릉시,2018,02-04,2018.2/4,내과,84,18.97,40437.33,213168.67
강릉시,2018,03-04,2018.3/4,내과,87,19.17,40759,212743
강릉시,2018,04-04,2018.4/4,내과,87,19.33,41103.67,212833.67
강릉시,2019,01-04,2019.1/4,내과,88,19.5,41542.33,212823.33
강릉시,2019,02-04,2019.2/4,내과,88,19.73,42040.33,213223.67
강릉시,2019,03-04,2019.3/4,내과,91,19.93,42514.67,213404.33
강릉시,2019,04-04,2019.4/4,내과,90,20.13,42967.33,213510.67
강릉시,2020,01-04,2020.1/4,내과,95,20.5,43673.67,213248
강릉시,2020,02-04,2020.2/4,내과,93,20.8,44319,212943
강릉시,2020,03-04,2020.3/4,내과,94,21,44791,212989.33
강릉시,2020,04-04,2020.4/4,내과,92,21.27,45337,213193.33
강릉시,2021,01-04,2021.1/4,내과,91,21.5,45868.33,213184
강릉시,2021,02-04,2021.2/4,내과,90,21.7,46167,212785
강릉시,2021,03-04,2021.3/4,내과,91,21.83,46558.67,213044.33
강릉시,2021,04-04,2021.4/4,내과,93,22.1,47122.33,213071
강릉시,2022,01-04,2022.1/4,내과,92,22.47,47788,212772
강릉시,2022,02-04,2022.2/4,내과,91,22.73,48309.33,212405.67
강릉시,2022,03-04,2022.3/4,내과,93,23,48814,212075.33
강릉시,2022,04-04,2022.4/4,내과,92,23.33,49393.67,211554.67
강릉시,2023,01-04,2023.1/4,내과,90,23.7,50001.33,210925.67
강릉시,2023,02-04,2023.2/4,내과,91,24,50561,210548
강릉시,2023,03-04,2023.3/4,내과,86,24.3,50991.67,210165.33
강릉시,2023,04-04,2023.4/4,내과,85,24.6,51514.33,209635.67
강릉시,2024,01-04,2024.1/4,내과,88,25,52230.67,208971
강릉시,2024,02-04,2024.2/4,내과,89,25.4,52918.33,208542
강릉시,2024,03-04,2024.3/4,내과,90,25.63,53394,208171
강릉시,2024,04-04,2024.4/4,내과,90,26,54025.67,207818.67
강릉시,2025,01-04,2025.1/4,내과,87,26.43,54808.67,207412
강릉시,2025,02-04,2025.2/4,내과,89,26.8,55487.33,207027
강릉시,2025,03-04,2025.3/4,내과,86,27.1,56089.33,206908
강릉시,2025,04-04,2025.4/4,내과,85,27.47,56739.33,206503
강릉시,2009,01-04,2009.1/4,마취통증의학과,16,13.3,28964.67,217929
강릉시,2009,02-04,2009.2/4,마취통증의학과,16,13.5,29331,217517
강릉시,2009,03-04,2009.3/4,마취통증의학과,16,13.57,29495.67,217568.67
강릉시,2009,04-04,2009.4/4,마취통증의학과,16,13.67,29763.67,217557.67
강릉시,2010,01-04,2010.1/4,마취통증의학과,17,13.87,30116,217300.33
강릉시,2010,02-04,2010.2/4,마취통증의학과,17,14.1,30562.67,216973
강릉시,2010,03-04,2010.3/4,마취통증의학과,16,14.2,30847.67,216862.33
강릉시,2010,04-04,2010.4/4,마취통증의학과,17,14.3,31226.33,218578.67
강릉시,2011,01-04,2011.1/4,마취통증의학과,16,14.37,31403.67,218322.33
강릉시,2011,02-04,2011.2/4,마취통증의학과,14,14.53,31648,217910.33
강릉시,2011,03-04,2011.3/4,마취통증의학과,13,14.67,31925,217914
강릉시,2011,04-04,2011.4/4,마취통증의학과,13,14.77,32153,217735.33
강릉시,2012,01-04,2012.1/4,마취통증의학과,16,14.93,32498.33,217698
강릉시,2012,02-04,2012.2/4,마취통증의학과,16,15.1,32884.33,217812.67
강릉시,2012,03-04,2012.3/4,마취통증의학과,17,15.23,33201.67,217732
강릉시,2012,04-04,2012.4/4,마취통증의학과,18,15.37,33518.33,217878.33
강릉시,2013,01-04,2013.1/4,마취통증의학과,20,15.6,33938.67,217312
강릉시,2013,02-04,2013.2/4,마취통증의학과,20,15.77,34250.33,217195.33
강릉시,2013,03-04,2013.3/4,마취통증의학과,20,15.9,34512.33,216956
강릉시,2013,04-04,2013.4/4,마취통증의학과,21,16.03,34759.33,216905.33
강릉시,2014,01-04,2014.1/4,마취통증의학과,18,16.27,35150.33,216386.67
강릉시,2014,02-04,2014.2/4,마취통증의학과,20,16.4,35466.67,216135.67
강릉시,2014,03-04,2014.3/4,마취통증의학과,18,16.57,35710.33,215790.33
강릉시,2014,04-04,2014.4/4,마취통증의학과,18,16.67,35964.67,215893.67
강릉시,2015,01-04,2015.1/4,마취통증의학과,22,16.8,36168.67,215380.33
강릉시,2015,02-04,2015.2/4,마취통증의학과,21,16.9,36397,215144.67
강릉시,2015,03-04,2015.3/4,마취통증의학과,19,17.03,36621.67,214883.33
강릉시,2015,04-04,2015.4/4,마취통증의학과,19,17.17,36859.67,214710.67
강릉시,2016,01-04,2016.1/4,마취통증의학과,21,17.33,37143.33,214201.67
강릉시,2016,02-04,2016.2/4,마취통증의학과,22,17.4,37314,214214.67
강릉시,2016,03-04,2016.3/4,마취통증의학과,22,17.5,37450.33,214061.67
강릉시,2016,04-04,2016.4/4,마취통증의학과,22,17.57,37614,213930
강릉시,2017,01-04,2017.1/4,마취통증의학과,24,17.83,38101.67,213650.67
강릉시,2017,02-04,2017.2/4,마취통증의학과,25,18.2,38824.67,213766
강릉시,2017,03-04,2017.3/4,마취통증의학과,24,18.37,39301,213718.33
강릉시,2017,04-04,2017.4/4,마취통증의학과,24,18.53,39688.33,213963.67
강릉시,2018,01-04,2018.1/4,마취통증의학과,26,18.77,40042,213386
강릉시,2018,02-04,2018.2/4,마취통증의학과,27,18.97,40437.33,213168.67
강릉시,2018,03-04,2018.3/4,마취통증의학과,25,19.17,40759,212743
강릉시,2018,04-04,2018.4/4,마취통증의학과,25,19.33,41103.67,212833.67
강릉시,2019,01-04,2019.1/4,마취통증의학과,24,19.5,41542.33,212823.33
강릉시,2019,02-04,2019.2/4,마취통증의학과,25,19.73,42040.33,213223.67
강릉시,2019,03-04,2019.3/4,마취통증의학과,25,19.93,42514.67,213404.33
강릉시,2019,04-04,2019.4/4,마취통증의학과,25,20.13,42967.33,213510.67
강릉시,2020,01-04,2020.1/4,마취통증의학과,25,20.5,43673.67,213248
강릉시,2020,02-04,2020.2/4,마취통증의학과,25,20.8,44319,212943
강릉시,2020,03-04,2020.3/4,마취통증의학과,25,21,44791,212989.33
강릉시,2020,04-04,2020.4/4,마취통증의학과,24,21.27,45337,213193.33
강릉시,2021,01-04,2021.1/4,마취통증의학과,26,21.5,45868.33,213184
강릉시,2021,02-04,2021.2/4,마취통증의학과,24,21.7,46167,212785
강릉시,2021,03-04,2021.3/4,마취통증의학과,24,21.83,46558.67,213044.33
강릉시,2021,04-04,2021.4/4,마취통증의학과,24,22.1,47122.33,213071
강릉시,2022,01-04,2022.1/4,마취통증의학과,23,22.47,47788,212772
강릉시,2022,02-04,2022.2/4,마취통증의학과,23,22.73,48309.33,212405.67
강릉시,2022,03-04,2022.3/4,마취통증의학과,23,23,48814,212075.33
강릉시,2022,04-04,2022.4/4,마취통증의학과,21,23.33,49393.67,211554.67
강릉시,2023,01-04,2023.1/4,마취통증의학과,22,23.7,50001.33,210925.67
강릉시,2023,02-04,2023.2/4,마취통증의학과,24,24,50561,210548
강릉시,2023,03-04,2023.3/4,마취통증의학과,24,24.3,50991.67,210165.33
강릉시,2023,04-04,2023.4/4,마취통증의학과,24,24.6,51514.33,209635.67
강릉시,2024,01-04,2024.1/4,마취통증의학과,25,25,52230.67,208971
강릉시,2024,02-04,2024.2/4,마취통증의학과,24,25.4,52918.33,208542
강릉시,2024,03-04,2024.3/4,마취통증의학과,22,25.63,53394,208171
강릉시,2024,04-04,2024.4/4,마취통증의학과,23,26,54025.67,207818.67
강릉시,2025,01-04,2025.1/4,마취통증의학과,23,26.43,54808.67,207412
강릉시,2025,02-04,2025.2/4,마취통증의학과,24,26.8,55487.33,207027
강릉시,2025,03-04,2025.3/4,마취통증의학과,24,27.1,56089.33,206908
강릉시,2025,04-04,2025.4/4,마취통증의학과,24,27.47,56739.33,206503
강릉시,2009,01-04,2009.1/4,방사선종양학과,1,13.3,28964.67,217929
강릉시,2009,02-04,2009.2/4,방사선종양학과,2,13.5,29331,217517
강릉시,2009,03-04,2009.3/4,방사선종양학과,2,13.57,29495.67,217568.67
강릉시,2009,04-04,2009.4/4,방사선종양학과,2,13.67,29763.67,217557.67
강릉시,2010,01-04,2010.1/4,방사선종양학과,2,13.87,30116,217300.33
강릉시,2010,02-04,2010.2/4,방사선종양학과,2,14.1,30562.67,216973
강릉시,2010,03-04,2010.3/4,방사선종양학과,2,14.2,30847.67,216862.33
강릉시,2010,04-04,2010.4/4,방사선종양학과,2,14.3,31226.33,218578.67
강릉시,2011,01-04,2011.1/4,방사선종양학과,2,14.37,31403.67,218322.33
강릉시,2011,02-04,2011.2/4,방사선종양학과,2,14.53,31648,217910.33
강릉시,2011,03-04,2011.3/4,방사선종양학과,2,14.67,31925,217914
강릉시,2011,04-04,2011.4/4,방사선종양학과,2,14.77,32153,217735.33
강릉시,2012,01-04,2012.1/4,방사선종양학과,2,14.93,32498.33,217698
강릉시,2012,02-04,2012.2/4,방사선종양학과,2,15.1,32884.33,217812.67
강릉시,2012,03-04,2012.3/4,방사선종양학과,2,15.23,33201.67,217732
강릉시,2012,04-04,2012.4/4,방사선종양학과,2,15.37,33518.33,217878.33
강릉시,2013,01-04,2013.1/4,방사선종양학과,2,15.6,33938.67,217312
강릉시,2013,02-04,2013.2/4,방사선종양학과,2,15.77,34250.33,217195.33
강릉시,2013,03-04,2013.3/4,방사선종양학과,2,15.9,34512.33,216956
강릉시,2013,04-04,2013.4/4,방사선종양학과,2,16.03,34759.33,216905.33
강릉시,2014,01-04,2014.1/4,방사선종양학과,2,16.27,35150.33,216386.67
강릉시,2014,02-04,2014.2/4,방사선종양학과,2,16.4,35466.67,216135.67
강릉시,2014,03-04,2014.3/4,방사선종양학과,2,16.57,35710.33,215790.33
강릉시,2014,04-04,2014.4/4,방사선종양학과,2,16.67,35964.67,215893.67
강릉시,2015,01-04,2015.1/4,방사선종양학과,2,16.8,36168.67,215380.33
강릉시,2015,02-04,2015.2/4,방사선종양학과,2,16.9,36397,215144.67
강릉시,2015,03-04,2015.3/4,방사선종양학과,2,17.03,36621.67,214883.33
강릉시,2015,04-04,2015.4/4,방사선종양학과,2,17.17,36859.67,214710.67
강릉시,2016,01-04,2016.1/4,방사선종양학과,2,17.33,37143.33,214201.67
강릉시,2016,02-04,2016.2/4,방사선종양학과,2,17.4,37314,214214.67
강릉시,2016,03-04,2016.3/4,방사선종양학과,2,17.5,37450.33,214061.67
강릉시,2016,04-04,2016.4/4,방사선종양학과,2,17.57,37614,213930
강릉시,2017,01-04,2017.1/4,방사선종양학과,2,17.83,38101.67,213650.67
강릉시,2017,02-04,2017.2/4,방사선종양학과,3,18.2,38824.67,213766
강릉시,2017,03-04,2017.3/4,방사선종양학과,3,18.37,39301,213718.33
강릉시,2017,04-04,2017.4/4,방사선종양학과,3,18.53,39688.33,213963.67
강릉시,2018,01-04,2018.1/4,방사선종양학과,4,18.77,40042,213386
강릉시,2018,02-04,2018.2/4,방사선종양학과,4,18.97,40437.33,213168.67
강릉시,2018,03-04,2018.3/4,방사선종양학과,4,19.17,40759,212743
강릉시,2018,04-04,2018.4/4,방사선종양학과,4,19.33,41103.67,212833.67
강릉시,2019,01-04,2019.1/4,방사선종양학과,4,19.5,41542.33,212823.33
강릉시,2019,02-04,2019.2/4,방사선종양학과,3,19.73,42040.33,213223.67
강릉시,2019,03-04,2019.3/4,방사선종양학과,3,19.93,42514.67,213404.33
강릉시,2019,04-04,2019.4/4,방사선종양학과,3,20.13,42967.33,213510.67
강릉시,2020,01-04,2020.1/4,방사선종양학과,3,20.5,43673.67,213248
강릉시,2020,02-04,2020.2/4,방사선종양학과,3,20.8,44319,212943
강릉시,2020,03-04,2020.3/4,방사선종양학과,3,21,44791,212989.33
강릉시,2020,04-04,2020.4/4,방사선종양학과,3,21.27,45337,213193.33
강릉시,2021,01-04,2021.1/4,방사선종양학과,3,21.5,45868.33,213184
강릉시,2021,02-04,2021.2/4,방사선종양학과,3,21.7,46167,212785
강릉시,2021,03-04,2021.3/4,방사선종양학과,3,21.83,46558.67,213044.33
강릉시,2021,04-04,2021.4/4,방사선종양학과,3,22.1,47122.33,213071
강릉시,2022,01-04,2022.1/4,방사선종양학과,3,22.47,47788,212772
강릉시,2022,02-04,2022.2/4,방사선종양학과,3,22.73,48309.33,212405.67
강릉시,2022,03-04,2022.3/4,방사선종양학과,3,23,48814,212075.33
강릉시,2022,04-04,2022.4/4,방사선종양학과,3,23.33,49393.67,211554.67
강릉시,2023,01-04,2023.1/4,방사선종양학과,3,23.7,50001.33,210925.67
강릉시,2023,02-04,2023.2/4,방사선종양학과,3,24,50561,210548
강릉시,2023,03-04,2023.3/4,방사선종양학과,3,24.3,50991.67,210165.33
강릉시,2023,04-04,2023.4/4,방사선종양학과,3,24.6,51514.33,209635.67
강릉시,2024,01-04,2024.1/4,방사선종양학과,3,25,52230.67,208971
강릉시,2024,02-04,2024.2/4,방사선종양학과,4,25.4,52918.33,208542
강릉시,2024,03-04,2024.3/4,방사선종양학과,4,25.63,53394,208171
강릉시,2024,04-04,2024.4/4,방사선종양학과,4,26,54025.67,207818.67
강릉시,2025,01-04,2025.1/4,방사선종양학과,4,26.43,54808.67,207412
강릉시,2025,02-04,2025.2/4,방사선종양학과,4,26.8,55487.33,207027
강릉시,2025,03-04,2025.3/4,방사선종양학과,4,27.1,56089.33,206908
강릉시,2025,04-04,2025.4/4,방사선종양학과,3,27.47,56739.33,206503
강릉시,2009,01-04,2009.1/4,병리과,3,13.3,28964.67,217929
강릉시,2009,02-04,2009.2/4,병리과,3,13.5,29331,217517
강릉시,2009,03-04,2009.3/4,병리과,3,13.57,29495.67,217568.67
강릉시,2009,04-04,2009.4/4,병리과,2,13.67,29763.67,217557.67
강릉시,2010,01-04,2010.1/4,병리과,3,13.87,30116,217300.33
강릉시,2010,02-04,2010.2/4,병리과,3,14.1,30562.67,216973
강릉시,2010,03-04,2010.3/4,병리과,3,14.2,30847.67,216862.33
강릉시,2010,04-04,2010.4/4,병리과,3,14.3,31226.33,218578.67
강릉시,2011,01-04,2011.1/4,병리과,2,14.37,31403.67,218322.33
강릉시,2011,02-04,2011.2/4,병리과,2,14.53,31648,217910.33
강릉시,2011,03-04,2011.3/4,병리과,2,14.67,31925,217914
강릉시,2011,04-04,2011.4/4,병리과,3,14.77,32153,217735.33
강릉시,2012,01-04,2012.1/4,병리과,4,14.93,32498.33,217698
