시군구,연도,분기,기간,고령인구비율,세이상인구_평균,전체인구_평균
횡성군,2021,1,2021.1/4,29.83,13836.67,46429.0
횡성군,2021,2,2021.2/4,30.17,14052.67,46571.0
횡성군,2021,3,2021.3/4,30.53,14244.33,46617.67
횡성군,2021,4,2021.4/4,30.93,14404.67,46550.0
횡성군,2022,1,2022.1/4,31.5,14617.67,46432.0
횡성군,2022,2,2022.2/4,31.7,14768.67,46567.0
횡성군,2022,3,2022.3/4,32.07,14931.67,46534.0
횡성군,2022,4,2022.4/4,32.5,15128.0,46515.33
횡성군,2023,1,2023.1/4,33.1,15405.33,46563.67
횡성군,2023,2,2023.2/4,33.6,15666.33,46620.0
횡성군,2023,3,2023.3/4,34.0,15812.0,46502.33
횡성군,2023,4,2023.4/4,34.43,15984.0,46399.0
횡성군,2024,1,2024.1/4,35.03,16202.67,46240.33
횡성군,2024,2,2024.2/4,35.47,16448.33,46347.33
횡성군,2024,3,2024.3/4,35.97,16629.33,46266.33
횡성군,2024,4,2024.4/4,36.5,16842.33,46168.33
횡성군,2025,1,2025.1/4,37.2,17123.33,46003.0
횡성군,2025,2,2025.2/4,37.8,17367.67,45947.33
횡성군,2025,3,2025.3/4,38.27,17528.0,45803.67
횡성군,2025,4,2025.4/4,38.87,17767.0,45690.0
횡성군,2026,1,2026.1/4,39.57,18040.67,45582.33
